UID,Start Date,End Date,Client,Project Name,Required Skills,Location,Local Requirement,Level
0,2020-03-01 00:00:00,2020-03-15 00:00:00,D,Design Project,PhotoShop/PowerPoint/,Denver,Yes,4-5
1,2020-04-01 00:00:00,2020-10-15 00:00:00,B,Human Resources Project,Workday/,NYC,No,8-9
2,2020-09-01 00:00:00,2020-09-15 00:00:00,B,Finance Project,SAP/PowerPoint/,Boston,Yes,1-2
3,2020-08-01 00:00:00,2020-10-15 00:00:00,G,Business Project,PowerPoint/,Boston,Yes,6-7
4,2020-10-01 00:00:00,2020-11-15 00:00:00,A,Strategy Project,Critical thinking/Excel/,Boston,No,4-5
5,2020-12-01 00:00:00,2020-12-15 00:00:00,G,Finance Project,QuickBooks/,NYC,Yes,8-9
6,2020-03-01 00:00:00,2020-10-15 00:00:00,G,Design Project,Excel/PowerPoint/,Boston,Yes,10-11
7,2020-04-01 00:00:00,2020-08-15 00:00:00,C,Design Project,Excel/PowerPoint/PowerPoint/,Denver,No,9-10
8,2020-11-01 00:00:00,2020-11-15 00:00:00,B,Strategy Project,Excel/,Chicago,No,3-4
9,2020-02-01 00:00:00,2020-08-15 00:00:00,D,Business Project,PowerPoint/,NYC,No,6-7
10,2020-08-01 00:00:00,2020-08-15 00:00:00,C,Account Leadership Project,Excel/PowerPoint/,Chicago,No,9-10
11,2020-04-01 00:00:00,2020-09-15 00:00:00,F,Business Project,PowerPoint/PowerPoint/Salesforce/,NYC,Yes,2-3
12,2020-01-01 00:00:00,2020-08-15 00:00:00,B,Engineering Project,Excel/PowerPoint/Java/,NYC,Yes,1-2
13,2020-04-01 00:00:00,2020-07-15 00:00:00,C,Business Project,PowerPoint/,NYC,No,5-6
14,2020-07-01 00:00:00,2020-11-15 00:00:00,B,Human Resources Project,Excel/Excel/Workday/,DC,Yes,3-4
15,2020-04-01 00:00:00,2020-09-15 00:00:00,C,Strategy Project,PowerPoint/,NYC,Yes,5-6
16,2020-04-01 00:00:00,2020-05-15 00:00:00,E,Security Project,ML/Java/,NYC,Yes,8-9
17,2020-12-01 00:00:00,2020-12-15 00:00:00,H,Design Project,Adobe/PhotoShop/,DC,No,5-6
18,2020-06-01 00:00:00,2020-11-15 00:00:00,C,Finance Project,SAP/QuickBooks/PowerPoint/,Chicago,Yes,8-9
19,2020-03-01 00:00:00,2020-11-15 00:00:00,C,Engineering Project,Excel/,NYC,No,4-5
20,2020-11-01 00:00:00,2020-11-15 00:00:00,B,Strategy Project,Critical thinking/,DC,No,10-11
21,2020-12-01 00:00:00,2020-12-15 00:00:00,F,Finance Project,SAP/,DC,No,6-7
