UID,Chargeability,Start Date,End Date,Client,Project Name,Required Skills,Location,Local Requirement,Level
0,No,2020-03-01 00:00:00,2020-04-15 00:00:00,C,iDefense- Odin,ML,Denver,No,3-4
1,No,2020-01-01 00:00:00,2020-06-15 00:00:00,E,iDefense- Odin,Cloud,Denver,No,5-6
2,Yes,2020-08-01 00:00:00,2020-11-15 00:00:00,G,Journey2Cloud,Python,Denver,No,1-2
3,Yes,2020-08-01 00:00:00,2020-08-15 00:00:00,E,Avande,Oracle,Chicago,Yes,7-8
4,No,2020-09-01 00:00:00,2020-10-15 00:00:00,D,iDefense- Zaim,ML,Boston,Yes,10-11
5,No,2020-06-01 00:00:00,2020-06-15 00:00:00,G,Journey2Cloud,Oracle,Chicago,Yes,7-8
6,Yes,2020-10-01 00:00:00,2020-12-15 00:00:00,A,AT&T Application Scanning,Python,Chicago,No,6-7
7,Yes,2020-12-01 00:00:00,2020-12-15 00:00:00,G,Chevron Cloud Security,Python,Denver,Yes,2-3
8,Yes,2020-10-01 00:00:00,2020-10-15 00:00:00,B,AT&T Application Scanning,Oracle,Chicago,No,10-11
9,No,2020-05-01 00:00:00,2020-12-15 00:00:00,G,Avande,Cloud,Chicago,No,8-9
10,No,2020-05-01 00:00:00,2020-10-15 00:00:00,F,AT&T Application Scanning,Java,Chicago,No,4-5
11,Yes,2020-03-01 00:00:00,2020-09-15 00:00:00,D,Avande,Python,Denver,No,4-5
12,Yes,2020-05-01 00:00:00,2020-11-15 00:00:00,E,Avande,Cloud,Boston,Yes,6-7
13,Yes,2020-03-01 00:00:00,2020-11-15 00:00:00,A,Cyber Integration,Oracle,Boston,Yes,5-6
14,No,2020-10-01 00:00:00,2020-10-15 00:00:00,B,Malware Analysis & Countermeasures (MAC),ML,Boston,Yes,5-6
15,No,2020-11-01 00:00:00,2020-11-15 00:00:00,B,Application Security F/P Analysis,Python,Boston,No,5-6
16,No,2020-08-01 00:00:00,2020-08-15 00:00:00,B,Journey2Cloud,Cloud,Chicago,No,4-5
17,No,2020-01-01 00:00:00,2020-06-15 00:00:00,F,iDefense- Odin,ML,NYC,Yes,7-8
18,Yes,2020-06-01 00:00:00,2020-09-15 00:00:00,C,Cloud Security Enablement Phase 1,Cloud,NYC,No,5-6
19,Yes,2020-08-01 00:00:00,2020-08-15 00:00:00,D,AT&T Application Scanning,ML,Denver,Yes,7-8
20,No,2020-10-01 00:00:00,2020-12-15 00:00:00,E,iDefense- Zaim,Oracle,Boston,Yes,3-4
21,Yes,2020-03-01 00:00:00,2020-05-15 00:00:00,G,Application Security F/P Analysis,Java,Chicago,No,6-7
22,No,2020-08-01 00:00:00,2020-11-15 00:00:00,F,Malware Analysis & Countermeasures (MAC),ML,Boston,No,4-5
23,No,2020-03-01 00:00:00,2020-11-15 00:00:00,F,Cyber Integration,Python,Chicago,Yes,7-8
24,No,2020-02-01 00:00:00,2020-03-15 00:00:00,H,AT&T Application Scanning,ML,Boston,Yes,8-9
25,No,2020-11-01 00:00:00,2020-11-15 00:00:00,H,Cyber Integration,Oracle,Denver,Yes,2-3
26,No,2020-11-01 00:00:00,2020-11-15 00:00:00,G,Cyber Integration,Python,Denver,Yes,9-10
27,No,2020-05-01 00:00:00,2020-11-15 00:00:00,A,Journey2Cloud,Java,Boston,No,9-10
28,No,2020-04-01 00:00:00,2020-08-15 00:00:00,F,iDefense- Zaim,ML,Chicago,Yes,7-8
29,No,2020-05-01 00:00:00,2020-11-15 00:00:00,E,Cyber Integration,Python,Denver,No,6-7
30,No,2020-11-01 00:00:00,2020-11-15 00:00:00,F,Journey2Cloud,Cloud,Boston,Yes,4-5
31,Yes,2020-10-01 00:00:00,2020-12-15 00:00:00,F,AT&T Application Scanning,Python,Denver,Yes,3-4
32,No,2020-04-01 00:00:00,2020-04-15 00:00:00,F,Cloud Security Enablement Phase 1,Cloud,Denver,No,2-3
33,Yes,2020-04-01 00:00:00,2020-05-15 00:00:00,F,Avande,Python,Denver,No,8-9
34,No,2020-06-01 00:00:00,2020-07-15 00:00:00,D,Cloud Security Enablement Phase 1,Python,Boston,Yes,10-11
35,Yes,2020-11-01 00:00:00,2020-12-15 00:00:00,G,Avande,Oracle,Chicago,Yes,8-9
36,No,2020-12-01 00:00:00,2020-12-15 00:00:00,G,AT&T Application Scanning,ML,Boston,Yes,1-2
37,Yes,2020-04-01 00:00:00,2020-10-15 00:00:00,B,Malware Analysis & Countermeasures (MAC),Cloud,NYC,Yes,3-4
38,No,2020-10-01 00:00:00,2020-11-15 00:00:00,F,Journey2Cloud,Java,Denver,Yes,2-3
39,No,2020-11-01 00:00:00,2020-12-15 00:00:00,D,iDefense- Odin,Python,DC,No,2-3
40,Yes,2020-04-01 00:00:00,2020-10-15 00:00:00,A,Cloud Security Enablement Phase 1,Python,Chicago,Yes,8-9
41,Yes,2020-01-01 00:00:00,2020-04-15 00:00:00,A,iDefense- Zaim,ML,DC,No,10-11
