Candidate UID,Service,Talent Segment,Level,Skills,Coming Available,Local Office,Local Preference
0,Technology,Security,7,PowerPoint/Java/Excel/Excel/,2020-02-01 00:00:00,NYC,No
1,Technology,Design,3,PowerPoint/,2020-08-01 00:00:00,Chicago,Yes
2,Interactive,Security,3,Java/,2020-05-01 00:00:00,DC,Yes
3,Operations,Finance,8,SAP/SAP/,2020-05-01 00:00:00,DC,No
4,Interactive,Business,6,Salesforce/PowerPoint/,2020-02-01 00:00:00,NYC,No
5,Technology,Human Resources,8,PowerPoint/Excel/PowerPoint/,2020-05-01 00:00:00,DC,No
6,Technology,Finance,10,Excel/PowerPoint/PowerPoint/,2020-11-01 00:00:00,Boston,No
7,Strategy & Consulting,Engineering,1,MATLAB/Excel/,2020-04-01 00:00:00,Boston,No
8,Strategy & Consulting,Security,3,Oracle/ML/Java/Java/,2020-01-01 00:00:00,Denver,No
9,Interactive,Legal,8,Excel/Excel/Bar/,2020-02-01 00:00:00,Chicago,Yes
10,Strategy & Consulting,Security,5,Excel/Oracle/PowerPoint/,2020-10-01 00:00:00,DC,No
11,Interactive,Legal,7,PowerPoint/Oral communication/Excel/,2020-03-01 00:00:00,Chicago,No
12,Operations,Finance,4,SAP/QuickBooks/SAP/,2020-02-01 00:00:00,Boston,No
13,Operations,Human Resources,4,Workday/Excel/,2020-01-01 00:00:00,Boston,No
14,Strategy & Consulting,Strategy,10,PowerPoint/,2020-07-01 00:00:00,Boston,No
15,Operations,Design,5,Excel/PhotoShop/React.js/,2020-04-01 00:00:00,Chicago,Yes
16,Operations,Security,2,PowerPoint/Excel/Excel/,2020-04-01 00:00:00,Boston,No
17,Technology,Strategy,1,Critical thinking/PowerPoint/,2020-08-01 00:00:00,Boston,Yes
18,Operations,Account Leadership,7,Excel/ML/Leadership/ML/,2020-06-01 00:00:00,Chicago,No
19,Interactive,Engineering,3,Java/Excel/Python/,2020-01-01 00:00:00,Boston,No
20,Interactive,Security,10,Python/,2020-12-01 00:00:00,Chicago,Yes
21,Interactive,Account Leadership,2,ML/Cloud/,2020-12-01 00:00:00,Boston,No
22,Strategy & Consulting,Human Resources,8,Oral communication/Workday/,2020-06-01 00:00:00,DC,No
23,Strategy & Consulting,Engineering,10,PowerPoint/Python/Excel/,2020-05-01 00:00:00,Denver,No
24,Technology,IT Operations,2,Oracle/ML/Java/Python/,2020-06-01 00:00:00,Denver,No
