Project UID,Start Date,End Date,Client,Project Name,Required Skills,Location,Local Requirement,Level,Service
0,2020-03-01 00:00:00,2020-04-15 00:00:00,A,IT Operations Project,Excel/Cloud/Cloud/,DC,Yes,5-6,Operations
1,2020-12-01 00:00:00,2020-12-15 00:00:00,F,IT Operations Project,Cloud/,DC,Yes,4-5,Operations
2,2020-10-01 00:00:00,2020-12-15 00:00:00,F,IT Operations Project,Java/Excel/,Denver,No,5-6,Interactive
3,2020-05-01 00:00:00,2020-11-15 00:00:00,G,Account Leadership Project,PowerPoint/Cloud/Leadership/,Chicago,No,6-7,Strategy & Consulting
4,2020-06-01 00:00:00,2020-12-15 00:00:00,D,Human Resources Project,PowerPoint/PowerPoint/PowerPoint/,Denver,Yes,10-11,Operations
5,2020-06-01 00:00:00,2020-07-15 00:00:00,D,Legal Project,Excel/Bar/,Denver,Yes,1-2,Interactive
6,2020-03-01 00:00:00,2020-06-15 00:00:00,F,Design Project,PhotoShop/,Chicago,Yes,7-8,Interactive
7,2020-09-01 00:00:00,2020-11-15 00:00:00,A,Finance Project,Excel/,NYC,Yes,5-6,Strategy & Consulting
8,2020-03-01 00:00:00,2020-08-15 00:00:00,B,Security Project,ML/PowerPoint/Python/,Boston,Yes,3-4,Technology
9,2020-04-01 00:00:00,2020-12-15 00:00:00,H,Strategy Project,Critical thinking/PowerPoint/,DC,No,8-9,Strategy & Consulting
10,2020-04-01 00:00:00,2020-12-15 00:00:00,B,Legal Project,Excel/,Denver,Yes,9-10,Strategy & Consulting
11,2020-11-01 00:00:00,2020-11-15 00:00:00,C,Security Project,Excel/Oracle/,Denver,No,2-3,Strategy & Consulting
12,2020-11-01 00:00:00,2020-11-15 00:00:00,A,Design Project,Excel/,Denver,Yes,6-7,Interactive
13,2020-06-01 00:00:00,2020-11-15 00:00:00,G,Business Project,Salesforce/Salesforce/PowerPoint/,NYC,No,5-6,Operations
14,2020-09-01 00:00:00,2020-09-15 00:00:00,E,Engineering Project,Python/MATLAB/Java/,Denver,No,8-9,Technology
15,2020-08-01 00:00:00,2020-12-15 00:00:00,F,Business Project,PowerPoint/PowerPoint/,Boston,Yes,7-8,Strategy & Consulting
16,2020-09-01 00:00:00,2020-11-15 00:00:00,D,Legal Project,Excel/Excel/,NYC,Yes,10-11,Strategy & Consulting
17,2020-03-01 00:00:00,2020-12-15 00:00:00,D,Design Project,Excel/,DC,No,9-10,Operations
18,2020-08-01 00:00:00,2020-12-15 00:00:00,G,Account Leadership Project,Excel/Leadership/,Chicago,No,4-5,Strategy & Consulting
19,2020-09-01 00:00:00,2020-12-15 00:00:00,E,Design Project,Adobe/,Boston,No,9-10,Technology
20,2020-04-01 00:00:00,2020-06-15 00:00:00,E,Engineering Project,PowerPoint/PowerPoint/,Denver,No,10-11,Operations
21,2020-01-01 00:00:00,2020-12-15 00:00:00,D,Legal Project,Excel/,Denver,Yes,1-2,Technology
22,2020-06-01 00:00:00,2020-10-15 00:00:00,E,Security Project,Excel/Java/Oracle/,NYC,No,10-11,Strategy & Consulting
23,2020-06-01 00:00:00,2020-11-15 00:00:00,F,IT Operations Project,PowerPoint/,Denver,No,3-4,Interactive
24,2020-04-01 00:00:00,2020-09-15 00:00:00,E,Engineering Project,Excel/,Chicago,No,9-10,Strategy & Consulting
25,2020-08-01 00:00:00,2020-08-15 00:00:00,B,Account Leadership Project,PowerPoint/,Chicago,No,1-2,Operations
26,2020-01-01 00:00:00,2020-12-15 00:00:00,H,Engineering Project,MATLAB/,Denver,No,8-9,Technology
27,2020-08-01 00:00:00,2020-09-15 00:00:00,F,Legal Project,Excel/Bar/Bar/,DC,Yes,1-2,Interactive
28,2020-04-01 00:00:00,2020-07-15 00:00:00,B,Legal Project,Oral communication/PowerPoint/Oral communication/,DC,Yes,6-7,Technology
