UID,Service,Talent Segment,Role,Level,Skills,Certs,Coming Available,Market Unit,Local Office
0,Technology,Human Resources,Cloud Security Analyst,3,Python,AWS SA,2020-09-01 00:00:00,South,DC
1,Technology,Legal,Security Consulting Analyst,7,Java,CAP,2020-02-01 00:00:00,Northeast,Denver
2,Technology,Human Resources,Security Consulting Analyst,4,Cloud,CISSP,2020-02-01 00:00:00,Northeast,Denver
3,Strategy & Consulting,Consulting,Security Consulting Analyst,2,Oracle,CISSP,2020-07-01 00:00:00,Northeast,Boston
4,Operations,Business,Consulting Development Analyst,11,Cloud,CISSP,2020-10-01 00:00:00,West,NYC
5,Operations,Finance,Cloud Security Senior Analyst,4,ML,CISSP,2020-08-01 00:00:00,Northeast,NYC
6,Strategy & Consulting,Consulting,Cloud Security Analyst,3,ML,IBD DSPC,2020-07-01 00:00:00,Midwest,NYC
7,Interactive,Account Leadership,Consulting Development Analyst,1,ML,AWS SA,2020-10-01 00:00:00,South,Denver
8,Interactive,Strategy,Consulting Development Senior Analyst,10,Python,IBD DSPC,2020-07-01 00:00:00,West,DC
9,Interactive,Consulting,Cloud Security Senior Analyst,8,Oracle,CISSP,2020-06-01 00:00:00,Northeast,DC
10,Strategy & Consulting,Account Leadership,Cloud Security Senior Analyst,7,Cloud,AWS SA,2020-11-01 00:00:00,West,Chicago
11,Technology,Security,Security Consulting Analyst,11,Cloud,AWS SA,2020-10-01 00:00:00,Midwest,Denver
12,Interactive,Strategy,Security Consulting Senior Analyst,4,ML,CISSP,2020-06-01 00:00:00,West,Denver
13,Operations,Account Leadership,Cloud Security Analyst,8,Java,AWS SA,2020-03-01 00:00:00,Northeast,Denver
14,Operations,Strategy,Cloud Security Analyst,9,Cloud,IBD DSPC,2020-07-01 00:00:00,West,Chicago
15,Interactive,Human Resources,Cloud Security Analyst,4,Oracle,AWS SA,2020-12-01 00:00:00,South,Boston
16,Strategy & Consulting,Design,Security Consulting Senior Analyst,10,ML,CAP,2020-11-01 00:00:00,South,DC
17,Interactive,Design,Cloud Security Analyst,1,Java,CISSP,2020-06-01 00:00:00,Midwest,DC
18,Technology,Security,Cloud Security Analyst,11,Java,IBD DSPC,2020-08-01 00:00:00,Northeast,NYC
19,Strategy & Consulting,Legal,Consulting Development Analyst,5,Oracle,CAP,2020-08-01 00:00:00,South,DC
20,Interactive,Consulting,Consulting Development Analyst,6,Python,IBD DSPC,2020-05-01 00:00:00,West,NYC
21,Strategy & Consulting,Legal,Consulting Development Senior Analyst,5,Cloud,CAP,2020-08-01 00:00:00,Northeast,Denver
22,Operations,Human Resources,Cloud Security Analyst,7,Oracle,CAP,2020-11-01 00:00:00,West,Chicago
23,Interactive,Human Resources,Consulting Development Senior Analyst,8,Python,IBD DSPC,2020-06-01 00:00:00,South,NYC
24,Interactive,Business,Cloud Security Senior Analyst,2,ML,IBD DSPC,2020-01-01 00:00:00,Midwest,Boston
