UID,Service,Talent Segment,Role,Level,Skills,Certs,Coming Available,Market Unit,Local Office
0,Operations,Design,Security Consulting Analyst,8,Cloud,CAP,2020-04-01 00:00:00,Northeast,NYC
1,Strategy & Consulting,Strategy,Consulting Development Analyst,9,ML,IBD DSPC,2020-11-01 00:00:00,Midwest,NYC
2,Interactive,Strategy,Security Consulting Analyst,10,Oracle,AWS SA,2020-06-01 00:00:00,West,Chicago
3,Technology,Business,Security Consulting Analyst,1,ML,CISSP,2020-12-01 00:00:00,Northeast,DC
4,Interactive,Human Resources,Cloud Security Senior Analyst,10,Oracle,CISSP,2020-03-01 00:00:00,Midwest,NYC
5,Technology,Engineering,Consulting Development Analyst,8,Cloud,CISSP,2020-05-01 00:00:00,South,NYC
6,Technology,Engineering,Consulting Development Analyst,1,Python,AWS SA,2020-08-01 00:00:00,South,Boston
7,Strategy & Consulting,Security,Consulting Development Analyst,1,Cloud,CAP,2020-01-01 00:00:00,West,DC
8,Operations,Finance,Cloud Security Analyst,1,Oracle,CISSP,2020-05-01 00:00:00,Northeast,DC
9,Interactive,Design,Cloud Security Analyst,3,Oracle,IBD DSPC,2020-06-01 00:00:00,South,Denver
10,Interactive,IT Operations,Cloud Security Analyst,6,Java,CISSP,2020-06-01 00:00:00,West,NYC
11,Strategy & Consulting,Design,Consulting Development Senior Analyst,8,Java,CAP,2020-04-01 00:00:00,Northeast,Chicago
12,Strategy & Consulting,Finance,Consulting Development Senior Analyst,10,Oracle,AWS SA,2020-05-01 00:00:00,Northeast,Boston
13,Strategy & Consulting,Human Resources,Cloud Security Analyst,8,Oracle,IBD DSPC,2020-07-01 00:00:00,Midwest,Denver
14,Technology,Account Leadership,Consulting Development Analyst,4,Cloud,IBD DSPC,2020-02-01 00:00:00,Northeast,DC
15,Technology,Security,Consulting Development Senior Analyst,3,Python,CISSP,2020-11-01 00:00:00,West,Chicago
16,Interactive,Security,Consulting Development Analyst,5,Cloud,IBD DSPC,2020-01-01 00:00:00,Midwest,Chicago
17,Strategy & Consulting,Legal,Consulting Development Senior Analyst,8,Java,CAP,2020-04-01 00:00:00,South,DC
18,Operations,Security,Security Consulting Analyst,10,Cloud,AWS SA,2020-05-01 00:00:00,Northeast,Chicago
19,Technology,Finance,Security Consulting Senior Analyst,3,ML,CAP,2020-01-01 00:00:00,Midwest,Denver
20,Operations,Account Leadership,Security Consulting Analyst,2,Python,AWS SA,2020-05-01 00:00:00,West,Denver
21,Interactive,Business,Security Consulting Senior Analyst,9,Cloud,CAP,2020-02-01 00:00:00,Midwest,Chicago
22,Operations,Design,Consulting Development Analyst,1,Cloud,AWS SA,2020-04-01 00:00:00,South,DC
23,Strategy & Consulting,Strategy,Cloud Security Senior Analyst,5,Python,CAP,2020-12-01 00:00:00,Northeast,Chicago
24,Interactive,Design,Consulting Development Senior Analyst,5,ML,CISSP,2020-12-01 00:00:00,South,Chicago
25,Technology,Business,Security Consulting Analyst,5,ML,AWS SA,2020-07-01 00:00:00,West,Denver
26,Technology,IT Operations,Cloud Security Analyst,10,Java,IBD DSPC,2020-07-01 00:00:00,West,Denver
27,Interactive,Strategy,Security Consulting Senior Analyst,2,Oracle,AWS SA,2020-09-01 00:00:00,South,Denver
28,Interactive,Legal,Consulting Development Analyst,1,Oracle,CISSP,2020-06-01 00:00:00,Midwest,Chicago
29,Operations,Consulting,Cloud Security Analyst,8,Cloud,CAP,2020-12-01 00:00:00,West,DC
30,Interactive,Human Resources,Cloud Security Senior Analyst,9,ML,AWS SA,2020-06-01 00:00:00,South,DC
31,Operations,Account Leadership,Security Consulting Senior Analyst,5,ML,IBD DSPC,2020-01-01 00:00:00,Northeast,DC
32,Interactive,Consulting,Consulting Development Analyst,11,Java,IBD DSPC,2020-07-01 00:00:00,West,Chicago
33,Interactive,Business,Security Consulting Senior Analyst,5,ML,CISSP,2020-07-01 00:00:00,West,Boston
34,Technology,Account Leadership,Consulting Development Analyst,4,Oracle,CAP,2020-11-01 00:00:00,West,Chicago
35,Strategy & Consulting,Legal,Cloud Security Analyst,2,Cloud,AWS SA,2020-06-01 00:00:00,South,Denver
36,Technology,Human Resources,Cloud Security Senior Analyst,7,ML,CAP,2020-11-01 00:00:00,South,Boston
