UID,Chargeability,Start Date,End Date,Client,Project Name,Required Skills,Location,Local Requirement
0,Yes,2020-11-01 00:00:00,2020-04-15 00:00:00,A,Malware Analysis & Countermeasures (MAC),Cloud,Denver,No
1,Yes,2020-09-01 00:00:00,2020-03-15 00:00:00,G,Malware Analysis & Countermeasures (MAC),Java,Chicago,Yes
2,Yes,2020-03-01 00:00:00,2020-04-15 00:00:00,A,Malware Analysis & Countermeasures (MAC),ML,DC,No
3,No,2020-12-01 00:00:00,2020-06-15 00:00:00,E,iDefense- Zaim,Java,Chicago,No
4,No,2020-09-01 00:00:00,2020-09-15 00:00:00,F,Avande,Python,DC,Yes
5,Yes,2020-07-01 00:00:00,2020-05-15 00:00:00,C,Application Security F/P Analysis,ML,NYC,Yes
6,Yes,2020-03-01 00:00:00,2020-06-15 00:00:00,F,Chevron Cloud Security,ML,Boston,Yes
7,Yes,2020-03-01 00:00:00,2020-02-15 00:00:00,G,Journey2Cloud,Python,Denver,No
8,No,2020-10-01 00:00:00,2020-02-15 00:00:00,H,Chevron Cloud Security,Java,Denver,Yes
9,No,2020-12-01 00:00:00,2020-05-15 00:00:00,C,Cyber Integration,Oracle,DC,Yes
10,No,2020-10-01 00:00:00,2020-10-15 00:00:00,H,AT&T Application Scanning,ML,Denver,Yes
11,Yes,2020-11-01 00:00:00,2020-01-15 00:00:00,F,AT&T Application Scanning,Cloud,NYC,Yes
12,No,2020-12-01 00:00:00,2020-02-15 00:00:00,A,Application Security F/P Analysis,Python,Chicago,No
13,Yes,2020-08-01 00:00:00,2020-07-15 00:00:00,G,iDefense- Zaim,Java,DC,Yes
14,No,2020-10-01 00:00:00,2020-05-15 00:00:00,A,iDefense- Odin,Python,Chicago,Yes
15,Yes,2020-07-01 00:00:00,2020-10-15 00:00:00,D,Application Security F/P Analysis,Python,Denver,No
16,No,2020-06-01 00:00:00,2020-02-15 00:00:00,E,Cloud Security Enablement Phase 1,ML,Denver,Yes
17,Yes,2020-12-01 00:00:00,2020-05-15 00:00:00,H,Malware Analysis & Countermeasures (MAC),ML,NYC,No
18,Yes,2020-05-01 00:00:00,2020-07-15 00:00:00,B,Cloud Security Enablement Phase 1,Cloud,Chicago,No
19,Yes,2020-03-01 00:00:00,2020-05-15 00:00:00,D,iDefense- Odin,Oracle,Boston,Yes
20,Yes,2020-08-01 00:00:00,2020-04-15 00:00:00,H,AT&T Application Scanning,Oracle,DC,No
21,No,2020-09-01 00:00:00,2020-04-15 00:00:00,H,Chevron Cloud Security,Oracle,NYC,Yes
22,No,2020-03-01 00:00:00,2020-02-15 00:00:00,B,Cyber Integration,Oracle,DC,No
23,No,2020-01-01 00:00:00,2020-02-15 00:00:00,A,Cyber Integration,ML,Denver,No
24,Yes,2020-02-01 00:00:00,2020-12-15 00:00:00,H,iDefense- Odin,Cloud,NYC,Yes
25,Yes,2020-03-01 00:00:00,2020-07-15 00:00:00,A,Cloud Security Enablement Phase 1,Oracle,NYC,No
26,No,2020-04-01 00:00:00,2020-05-15 00:00:00,B,iDefense- Odin,Cloud,Denver,Yes
27,Yes,2020-04-01 00:00:00,2020-08-15 00:00:00,G,Chevron Cloud Security,ML,Boston,Yes
28,No,2020-12-01 00:00:00,2020-10-15 00:00:00,G,Cyber Integration,Python,Boston,No
29,No,2020-10-01 00:00:00,2020-09-15 00:00:00,F,iDefense- Odin,Python,Denver,No
30,No,2020-02-01 00:00:00,2020-01-15 00:00:00,A,AT&T Application Scanning,Python,DC,Yes
31,No,2020-03-01 00:00:00,2020-03-15 00:00:00,D,Application Security F/P Analysis,Python,Denver,No
32,No,2020-12-01 00:00:00,2020-05-15 00:00:00,B,AT&T Application Scanning,Python,Boston,Yes
33,Yes,2020-09-01 00:00:00,2020-04-15 00:00:00,D,iDefense- Odin,Cloud,Denver,No
34,Yes,2020-01-01 00:00:00,2020-11-15 00:00:00,F,Chevron Cloud Security,Java,Denver,No
35,No,2020-08-01 00:00:00,2020-03-15 00:00:00,E,Chevron Cloud Security,Cloud,Boston,No
36,No,2020-01-01 00:00:00,2020-08-15 00:00:00,G,iDefense- Odin,ML,Boston,No
37,Yes,2020-01-01 00:00:00,2020-09-15 00:00:00,G,iDefense- Odin,Java,NYC,No
38,Yes,2020-03-01 00:00:00,2020-05-15 00:00:00,H,Cyber Integration,ML,DC,Yes
39,Yes,2020-02-01 00:00:00,2020-04-15 00:00:00,G,Journey2Cloud,Python,Boston,Yes
40,No,2020-08-01 00:00:00,2020-11-15 00:00:00,C,iDefense- Zaim,Cloud,Boston,No
41,Yes,2020-01-01 00:00:00,2020-01-15 00:00:00,H,AT&T Application Scanning,Java,NYC,No
42,Yes,2020-01-01 00:00:00,2020-11-15 00:00:00,C,Malware Analysis & Countermeasures (MAC),Java,NYC,Yes
43,Yes,2020-03-01 00:00:00,2020-11-15 00:00:00,H,Malware Analysis & Countermeasures (MAC),Oracle,Denver,Yes
44,No,2020-01-01 00:00:00,2020-01-15 00:00:00,A,Chevron Cloud Security,Java,Boston,Yes
45,No,2020-02-01 00:00:00,2020-10-15 00:00:00,C,Application Security F/P Analysis,Cloud,Denver,No
46,No,2020-07-01 00:00:00,2020-05-15 00:00:00,C,Avande,Cloud,NYC,No
47,Yes,2020-07-01 00:00:00,2020-09-15 00:00:00,C,iDefense- Zaim,Python,Chicago,Yes
48,Yes,2020-06-01 00:00:00,2020-12-15 00:00:00,D,Cloud Security Enablement Phase 1,Java,DC,No
49,No,2020-07-01 00:00:00,2020-04-15 00:00:00,D,Chevron Cloud Security,Oracle,Chicago,No
50,No,2020-08-01 00:00:00,2020-12-15 00:00:00,B,Chevron Cloud Security,Cloud,Boston,Yes
51,No,2020-03-01 00:00:00,2020-03-15 00:00:00,E,AT&T Application Scanning,Python,Denver,Yes
52,Yes,2020-04-01 00:00:00,2020-01-15 00:00:00,D,iDefense- Zaim,ML,Chicago,No
53,Yes,2020-06-01 00:00:00,2020-06-15 00:00:00,G,Cloud Security Enablement Phase 1,Java,Chicago,Yes
54,No,2020-09-01 00:00:00,2020-10-15 00:00:00,G,Cloud Security Enablement Phase 1,Cloud,Chicago,No
55,No,2020-08-01 00:00:00,2020-09-15 00:00:00,F,Chevron Cloud Security,ML,Chicago,Yes
56,No,2020-09-01 00:00:00,2020-06-15 00:00:00,F,Avande,Oracle,NYC,No
57,Yes,2020-05-01 00:00:00,2020-05-15 00:00:00,A,Cloud Security Enablement Phase 1,Oracle,Chicago,No
58,Yes,2020-11-01 00:00:00,2020-03-15 00:00:00,G,iDefense- Zaim,Oracle,Chicago,Yes
59,Yes,2020-08-01 00:00:00,2020-11-15 00:00:00,B,Cyber Integration,ML,Boston,No
60,Yes,2020-12-01 00:00:00,2020-11-15 00:00:00,B,Application Security F/P Analysis,Java,DC,Yes
61,No,2020-09-01 00:00:00,2020-04-15 00:00:00,H,Journey2Cloud,Oracle,Boston,No
62,No,2020-05-01 00:00:00,2020-01-15 00:00:00,C,Chevron Cloud Security,Python,Denver,No
